"","cell_id","layer_name","cell_type","recorder_name","subject_id","acquisition_time","rmp","voltage_drift","has_morphology","tag_comments","has_burst"
"134","2016_02_04_0029.abf","L5","Pyr","Homeira","X2016.02.04","2016-02-04 17:10:23.484",-64.4,0.426025390625,FALSE,"C#10  RMP -64.4 mv , L5",TRUE
"135","2016_02_04_0033.abf","L5","Pyr","Homeira","X2016.02.04","2016-02-04 17:47:33.343",-58.5,0.04150390625,FALSE,"C#11, RMP -58.5 mv , L5",FALSE
"136","2016_02_04_0042.abf","L5","Pyr","Homeira","X2016.02.04","2016-02-04 19:08:45.265",-59.2,6.148681640625,FALSE,"C#14, RMP -59.2mv , L5",TRUE
"137","2016_02_04_0045.abf","L5","Pyr","Homeira","X2016.02.04","2016-02-04 19:41:58.375",-59.2,0.960253906250003,FALSE,"C#15, RMP -59.2mv , L5",TRUE
"138","2016_02_25_0005.abf","L2.3","Pyr","Homeira","X2016.02.25","2016-02-25 12:35:59.187",-66,0.76904296875,FALSE,"C#1, RMP -66 mV, L2/3",FALSE
"139","2016_02_25_0007.abf","L2.3","Pyr","Homeira","X2016.02.25","2016-02-25 12:39:13.453",-66,2.7626953125,FALSE,"C#2, RMP -66 mV, L2/3",FALSE
"140","2016_02_25_0073.abf","L2.3","Pyr","Homeira","X2016.02.25","2016-02-25 13:40:54.046",-60.3,0.711669921875,FALSE,"C#3, RMP -60.3 mV, L2/3,",FALSE
"141","2016_02_25_0082.abf","L2.3","Pyr","Homeira","X2016.02.25","2016-02-25 13:56:30.562",-66.8,0.0732421875,FALSE,"C#4 RMP -66.8  mV, L2/3, without bridge balance",FALSE
"142","2016_02_25_0134.abf","L2.3","Pyr","Homeira","X2016.02.25","2016-02-25 14:31:23.265",-60.8,0.536865234375,FALSE,"C#5 RMP --60.8 mV, L2/3,",FALSE
"143","2016_02_25_0255.abf","L2.3","Pyr","Homeira","X2016.02.25","2016-02-25 17:03:39.984",-62.1,0.298828125,FALSE,"C#7 RMP --62.1 mV,l2/3",FALSE
"144","2016_02_29_0032.abf","L5","Pyr","Homeira","X2016.02.29","2016-02-29 15:05:55.671",-65.4,2.26440429687501,FALSE,"C#2 RMP --65.4 mV,L5,",TRUE
"145","2016_02_29_0065.abf","L5","Int","Homeira","X2016.02.29","2016-02-29 16:09:31.781",-61.8,2.7392578125,FALSE,"C#3 , RMP -61.8 mv",FALSE
"146","2016_03_01_0000.abf","L2.3","Pyr","Homeira","X2016.03.01","2016-03-01 13:48:02.765",-65.5,4.27734375,FALSE,"C#1, RMP -65.5,L2/3",FALSE
"147","2016_03_01_0047.abf","L2.3","Pyr","Homeira","X2016.03.01","2016-03-01 15:18:19.750",-61,3.418212890625,FALSE,"C#2, RMP -61,L2/3,",TRUE
"148","2016_03_03_0002.abf","L2.3","Pyr","Homeira","X2016.03.03","2016-03-03 13:24:36.500",-66.2,0.777099609375,FALSE,"C#1, RMP -66.2 mV,",FALSE
"149","2016_03_03_0054.abf","L2.3","Pyr","Homeira","X2016.03.03","2016-03-03 14:36:04.781",-66.3,0.565185546875,FALSE,"C#2, RMP -66.3mV,",TRUE
"150","2016_03_03_0100.abf","L2.3","Pyr","Homeira","X2016.03.03","2016-03-03 15:25:54.203",-64.8,1.029541015625,FALSE,"C#3, RMP -64.8 V,",FALSE
"151","2016_03_03_0103.abf","L2.3","Pyr","Homeira","X2016.03.03","2016-03-03 15:50:34.562",-65.7,1.363037109375,FALSE,"C#4, RMP -65.7 mv",TRUE
"152","19122003.abf","L2.3","Pyr","Homeira","X2019.01.22","2019-01-22 13:17:07.718",-68.7,0.1790771484375,TRUE,"C1-L2-3,Superfacial, RMP -68.7 mV, Step size: 25 pA",FALSE
"153","19122017.abf","L2.3","Pyr","Homeira","X2019.01.22","2019-01-22 16:52:11.484",-66.7,0.04052734375,FALSE,"C5-L2.injected current -667.2",FALSE
"154","19122024.abf","L3c","Pyr","Homeira","X2019.01.22","2019-01-22 18:07:33.468",-63.7,0.177734375,FALSE,"C6-L3 -63.7 mv",FALSE
"155","19122026.abf","L5","Pyr","Homeira","X2019.01.22","2019-01-22 19:53:55.031",-60.6,1.240478515625,FALSE,"C7-L5 -60.6mv",TRUE
"156","19128003.abf","L5","Pyr","Homeira","X2019.01.28","2019-01-28 14:23:18.421",-62,2.59653320312501,FALSE,"C2. L5,  RMP -62. mv",FALSE
"157","19128036.abf","L5","Pyr","Homeira","X2019.01.28","2019-01-28 17:30:14.265",-64.1,1.35717773437499,FALSE,"C5,  L5,   RMP -64.1  mv,",TRUE
"158","19128044.abf","L5","Pyr","Homeira","X2019.01.28","2019-01-28 18:55:24.765",-64.2,0.8917236328125,FALSE,"C6,  L5,   RMP -64.2  mv,",FALSE
"159","19128061.abf","L5","Pyr","Homeira","X2019.01.28","2019-01-28 20:23:11.890",-66,1.1201171875,TRUE,"C8,  L5,   RMP -66  mv,",FALSE
"160","19128068.abf","L5","Pyr","Homeira","X2019.01.28","2019-01-28 21:11:32.781",-62.3,0.0684814453125,FALSE,"C9,  L5,   RMP -62.3 mv",FALSE
"161","19129004.abf","L3c","Pyr","Homeira","X2019.01.29","2019-01-29 12:24:56.500",-62.9,0.7603759765625,TRUE,"C1,  L5,   RMP -62.9mv,",FALSE
"162","19129015.abf","L5","Pyr","Homeira","X2019.01.29","2019-01-29 13:35:30.375",-62.7,0.374755859375,TRUE,"C2  L5,   RMP -62.7mv,",FALSE
"163","19129022.abf","L5","Pyr","Homeira","X2019.01.29","2019-01-29 15:13:32.734",-65.8,0.6378173828125,FALSE,"C3,L5,   RMP -65.8 mv, superfacial layer 5",TRUE
"164","19129024.abf","L5","Pyr","Homeira","X2019.01.29","2019-01-29 15:32:54.843",-63.7,0.3680419921875,FALSE,"C4,L5,   RMP -63.7 mv, superfacial layer 5",FALSE
